Source,Target,Weight,cooccur_count
backlighting,midnight,4.743391863325639,2
metropolis,midnight,4.743391863325639,2
photo shoot,portrait photography,4.743391863325639,2
lips,skin,4.743391863325639,2
chin,skin,4.743391863325639,2
red,skull,4.743391863325639,2
fuel tank,red,4.743391863325639,2
motorcycle,red,4.743391863325639,2
red,spoke,4.743391863325639,2
heart,red,4.743391863325639,2
sun,sunset,4.795859283219775,2
fire,symbol,4.795859283219775,2
flame,symbol,4.795859283219775,2
dog,working animal,4.8137811912170365,6
black hair,eyebrow,4.8137811912170365,3
eye shadow,eyelash,4.850307067242151,4
eyelash,lips,4.850307067242151,4
domestic short-haired cat,whiskers,4.850307067242151,4
beak,phasianidae,4.850307067242151,3
beak,chicken,4.850307067242151,2
blond,eyelash,4.850307067242151,2
eyelash,iris,4.850307067242151,2
beak,common raven,4.850307067242151,2
beak,crows,4.850307067242151,2
beak,fowl,4.850307067242151,2
beak,bird of prey,4.850307067242151,2
beak,songbirds,4.850307067242151,2
kitten,whiskers,4.850307067242151,2
sunrise,sunset,4.866248611111173,7
action figure,mecha,4.868922745409498,6
happiness,smile,4.906890595608518,4
jungle,nature,4.906890595608518,2
black hair,collar,4.906890595608518,2
eyebrow,hairstyle,4.965784284662087,4
domestic short-haired cat,fur,4.965784284662087,4
moon,moonlight,4.965784284662087,3
galaxy,universe,4.965784284662087,3
shadow,standing,4.965784284662087,2
fur,paw,4.965784284662087,2
château,dusk,4.965784284662087,2
beauty,fashion,4.965784284662087,2
eyebrow,fashion,4.965784284662087,2
cheek,eyebrow,4.965784284662087,2
ceiling,symmetry,4.965784284662087,2
pet supply,working animal,4.965784284662087,2
beauty,headpiece,4.965784284662087,2
costume,headpiece,4.965784284662087,2
darkness,mist,4.965784284662087,2
automotive exterior,automotive lighting,4.965784284662087,2
dragon,wing,4.965784284662087,2
nebula,universe,4.965784284662087,2
planet,universe,4.965784284662087,2
evening,pedestrian,4.965784284662087,2
evening,street,4.965784284662087,2
cityscape,metropolis,4.965784284662087,2
cityscape,skyscraper,4.965784284662087,2
astronomy,star,5.006426269159433,6
cape,cloak,5.006426269159433,3
eyebrow,skin,5.065319958213002,5
cloud,sky,5.091315166745946,3
cloud,terrain,5.091315166745946,2
backlighting,shadow,5.135709286104399,3
beauty,lips,5.135709286104399,3
eye shadow,eyebrow,5.135709286104399,3
chin,eyebrow,5.135709286104399,3
reflection,sun,5.158429362604482,2
headpiece,long hair,5.158429362604482,2
tail,underwater,5.158429362604482,2
astronaut,astronomy,5.22881869049588,4
display device,gadget,5.22881869049588,3
dog,pet supply,5.22881869049588,3
astronomy,galaxy,5.22881869049588,3
sunrise,terrain,5.22881869049588,2
rock,sunrise,5.22881869049588,2
arch,column,5.22881869049588,2
red sky at morning,sunrise,5.22881869049588,2
anime,supernatural creature,5.22881869049588,2
nature,old-growth forest,5.22881869049588,2
astronomy,nebula,5.22881869049588,2
black hair,glasses,5.22881869049588,2
collar,glasses,5.22881869049588,2
model,no expression,5.22881869049588,2
backlighting,walking,5.22881869049588,2
astronomy,planet,5.22881869049588,2
ceiling,lighting,5.328354364046795,3
cryptid,dragon,5.328354364046795,3
fire,flame,5.380821783940931,9
sunset,terrain,5.380821783940931,2
rock,sunset,5.380821783940931,2
red sky at morning,sunset,5.380821783940931,2
mist,moonlight,5.380821783940931,2
fire,skull,5.380821783940931,2
flame,skull,5.380821783940931,2
automotive lighting,classic car,5.380821783940931,2
automotive lighting,headlamp,5.380821783940931,2
bird of prey,feather,5.380821783940931,2
feather,songbirds,5.380821783940931,2
tourist attraction,tower,5.380821783940931,2
tourist attraction,wonders of the world,5.380821783940931,2
tourist attraction,world heritage site,5.380821783940931,2
automotive lighting,personal luxury car,5.380821783940931,2
cape,cartoon,5.491853096329675,3
hairstyle,lips,5.550746785383243,3
arcade,shadow,5.550746785383243,2
eye shadow,lips,5.550746785383243,2
temple,wrinkle,5.550746785383243,2
cosplay,costume design,5.550746785383243,2
model,red hair,5.643856189774724,2
close-up,pest,5.643856189774724,2
jungle,trunk,5.643856189774724,2
nature,trunk,5.643856189774724,2
nature,sun,5.643856189774724,2
glass,liquid,5.643856189774724,2
close-up,love,5.643856189774724,2
ingredient,recipe,5.743391863325639,4
light fixture,lighting,5.743391863325639,3
interior design,lighting,5.743391863325639,3
condiment,ingredient,5.743391863325639,3
fast food,ingredient,5.743391863325639,3
finger food,ingredient,5.743391863325639,3
cheek,skin,5.743391863325639,3
aquatic plant,reflection,5.743391863325639,3
galaxy,star,5.743391863325639,3
floor,lighting,5.743391863325639,2
flooring,lighting,5.743391863325639,2
furniture,lighting,5.743391863325639,2
lighting,room,5.743391863325639,2
comfort food,ingredient,5.743391863325639,2
cooking,ingredient,5.743391863325639,2
culinary arts,ingredient,5.743391863325639,2
cryptid,extinction,5.743391863325639,2
lotus,reflection,5.743391863325639,2
pond,reflection,5.743391863325639,2
iris,skin,5.743391863325639,2
nebula,star,5.743391863325639,2
fin,tail,5.743391863325639,2
fish,tail,5.743391863325639,2
marine biology,tail,5.743391863325639,2
bengal tiger,terrestrial animal,5.743391863325639,2
siberian tiger,terrestrial animal,5.743391863325639,2
atmospheric phenomenon,celestial event,5.743391863325639,2
freezing,winter,5.743391863325639,2
batman,cape,5.8137811912170365,3
batman,cartoon,5.8137811912170365,3
cape,justice league,5.8137811912170365,3
cartoon,justice league,5.8137811912170365,3
breastplate,knight,5.965784284662087,5
automotive lighting,fender,5.965784284662087,3
backlighting,standing,5.965784284662087,2
composite material,symmetry,5.965784284662087,2
ceiling,interior design,5.965784284662087,2
fast food,recipe,5.965784284662087,2
finger food,recipe,5.965784284662087,2
display device,electronics,5.965784284662087,2
display device,multimedia,5.965784284662087,2
eye shadow,fashion,5.965784284662087,2
chin,nose,5.965784284662087,2
flesh,muscle,5.965784284662087,2
ceiling,light fixture,5.965784284662087,2
guitar,performing arts,5.965784284662087,2
guitarist,performing arts,5.965784284662087,2
performing arts,plucked string instrument,5.965784284662087,2
automotive lighting,fuel tank,5.965784284662087,2
automotive lighting,motorcycle,5.965784284662087,2
automotive lighting,spoke,5.965784284662087,2
landmark,tourist attraction,5.965784284662087,2
automotive lighting,automotive wheel system,5.965784284662087,2
old-growth forest,trunk,5.965784284662087,2
food,fruit,5.965784284662087,2
cottage,log cabin,5.965784284662087,2
automotive lighting,sedan,5.965784284662087,2
breastplate,vikings,5.965784284662087,2
automotive exterior,personal luxury car,5.965784284662087,2
automotive lighting,bumper,5.965784284662087,2
food,vegetable,5.965784284662087,2
celestial event,moon,5.965784284662087,2
celestial event,moonlight,5.965784284662087,2
paint,watercolor painting,5.965784284662087,2
modern art,watercolor painting,5.965784284662087,2
metropolis,skyscraper,6.135709286104399,3
jungle,old-growth forest,6.22881869049588,4
steeple,turret,6.22881869049588,4
arcade,arch,6.22881869049588,2
model,photo shoot,6.22881869049588,2
